                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007010000  140 17    10    201    372    210     77     84     52     43    162
202007010030  128 17     8    116    312    125    113     60     52     54    174
202007010100  115  4     7    131    137     82     86     82     61     45    199
202007010130  137 17     7    219    314    141     89     74     70     43    216
202007010200  136 17     6    204    308    146     87     75     70     52    209
202007010230  145 17    10    194    361    252    136     56     48     45    203
202007010300  129 17     4    125    345    114     72     56     55     51    213
202007010330  121  4     7    125    197    105     66     63     65     33    253
202007010400  139 17     5    205    384    122     78     56     49     41    262
202007010430  127 17     4    148    249    130     99     44     51     43    233
202007010500  124 17     8    150    269    156     59     43     47     38    194
202007010530  116 17    10    117    230     61     80     46     45     37    214
202007010600  116 17     7     85    228    139     64     51     52     39    177
202007010630  117 17     9     86    284    119     52     42     37     38    185
202007010700  125 17     6    166    306     92    116     42     37     36    176
202007010730  127 17     6    181    367    113     68     40     47     35    157
202007010800  117 17     9    122    294    131     69     40     45     32    115
202007010830  127 17     6    182    314    188     89     40     33     33    130
202007010900  124 17     8    170    249    206     83     46     31     45    120
202007010930  118 17     4    105    324    123     68     54     37     40    112
202007011000  121 17     7    124    278    126    107     51     55     55    120
202007011030  115 17     4    103    249    145     59     49     48     48    124
202007011100  130 17     4    156    348    225     67     54     42     65     96
202007011130  124 17     4     72    303    242     87     59     56     45    101
202007011200  124 17     6    113    368    165     65     45     44     55     91
202007011230  126 17     7     97    429    134     67     37     67     49    106
202007011300  113 17     3     91    317     79     55     49     68     44     90
202007011330  122 17     3    118    274    190     81     52     57     62     89
202007011400  103 17     4     74    158    136     52     36     40     63    104
202007011430  127 17     7    133    314    168     64     65     75     82    105
202007011500  120 17     4    118    292    148     54     55     58     55    113
202007011530  120 15     4     91    161    301     78     50     48     56    114
202007011600  136 17     5    203    380    200     87     44     44     58    136
202007011630  110 17     7     85    182    132     70     41     43     58    145
202007011700  139 17     7    131    462    236     58     41     45     72    154
202007011730  121 17     4    120    273    160     60     48     44     75    136
202007011800  130 17     7    169    360    200     53     41     36     60    132
202007011830  134 17     8    134    379    234     77     44     47     69    133
202007011900  122 17     5    142    350    114     53     46     30     60    122
202007011930  116 17     4     81    210    177     71     41     42     66    145
202007012000  118 15     2     63    180    254     60     42     45     70    152
202007012030  128 17     7    138    395    115     71     65     52     61    128
202007012100  125 17     6     81    347    202     59     49     69     49    110
202007012130  133 17     3     85    493    124     98     50     76     53    129
202007012200  113 17     5     63    231    130     86     60     43     62    115
202007012230  112 17     4     55    269    117     51     46     65     70    115
202007012300  125 17     4     78    362    206     72     42     50     56    101
202007012330  103 15     4     54    131    148     52     50     51     62    109
202007020000  117 17     4    104    277    161     66     36     51     49    108
202007020030  140 17     6     87    487    306     55     53     70     64    102
202007020100  100 17     5     44    173     93     77     44     66     36     85
202007020130  113 17     4     44    313    143     72     34     57     44     87
202007020200   99 15     2     22    145    159     60     50     44     49     85
202007020230  115 17     4     51    299    171     69     51     59     42     82
202007020300  113 17     4     60    254    217     74     30     38     47     79
