                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202005010000   79  9     0      1      3     27     53     62    108     78     68
202005010030   81  9     0      1      4     25     48     71     98     85     83
202005010100   82  7     0      2      3     36     54     72     85     91     85
202005010130   80  4     0      2      4     64     66     40     82     67     89
202005010200   83  9     1      1      4     39     48     73    106     88     85
202005010230   77  4     0      3      7     55     53     36     72     69     88
202005010300   77  9     0      3      3     44     56     60     96     53     64
202005010330   79  9     0      2      3     58     72     59     88     59     63
202005010400   75  7     0      2      4     34     68     44     71     73     62
202005010430   75  7     0      2      6     17     42     64     65     96     66
202005010500   75  7     0      2      4     21     48     59     84     86     63
202005010530   71  9     0      1      3     23     52     44     73     67     61
202005010600   70  9     0      2      4     25     38     51     85     60     58
202005010630   71  9     0      2      6     13     47     50     81     60     65
202005010700   70 11     0      2      5     30     53     62     58     49     50
202005010730   66  9     0      2      7     19     25     62     66     50     49
202005010800   71  7     0      1      7     27     48     51     71     72     48
202005010830   73  9     0      2      4     35     62     46     74     69     51
202005010900   77  9     0      3      4     40     56     63    101     69     42
202005010930   72  9     0      1      4     33     47     35     81     78     45
202005011000   76  7     0      1      4     28     62     45     77    103     44
202005011030   76  9     0      2      5     31     45     53     91     79     56
202005011100   73  7     0      3      4     25     34     47     80     92     55
202005011130   79  7     0      2      6     35     70     49     80     94     57
202005011200   80  7     0      2      6     35     54     53     96    106     58
202005011230   82  7     0      2     11     24     63     56    106    107     60
202005011300   86  7     0      2      7     32     70     63    107    126     70
202005011330   86  7     0      2      8     31     83     61     91    128     66
202005011400   88  7     0      3      7     26     78     54    112    132     78
202005011430   87  7     0      2     11     30     56     61    107    134     81
202005011500   93  7     0      2     10     51    116     61     95    124     84
202005011530   90  7     0      2     13     27     69     69     96    149     88
202005011600   95  7     0      4      8     35    107     72     95    160     91
202005011630   91  7     0      1      7     40     76     64     71    175     91
202005011700   93  7     0      2      4     25     81     66    109    149    108
202005011730   94  7     0      3      8     35     77     71     93    163    109
202005011800   94  7     0      3      7     46     93     87     77    148     94
202005011830   91  4     0      2      4     28     65    106    102    105    112
202005011900   98  7     0      2      7     50    110    113     72    130    121
202005011930   94  4     0      2      7     41    101     90     83    110    124
202005012000   91 13     0      2     11     48    124     63     69     91    114
202005012030   88  7     0      3     10     45     88     65     66    111    105
202005012100   90  4     0      1     11     34    102     67     86     92    113
202005012130   88 13     0      3      8     61     99     70     71     76     99
202005012200   87 13     0      2      6     30    119     56     81     86     92
202005012230   87  4     0      2      7     35     81     72     61    101    106
202005012300   84 13     0      2      4     36    113     47     62     82     95
202005012330   92 13     0      2     10     40    157     88     56     79     97
202005020000   91  4     0      1      6     22    105     94     79     95    117
202005020030   87  4     0      3      6     25    112     67     61     82    115
202005020100   79  4     0      2      8     30     60     68     53     74     92
202005020130   87 13     0      2      8     31    117    101     56     72     84
202005020200   80  7     0      2     11     22     80     56     55     87     83
202005020230   80 11     0      3      5     30     79     89     51     66     79
202005020300   84 13     0      2      7     38     95     66     59     87     90
202005020330   74  7     0      2      7     20     52     69     46     80     68
202005020400   80 11     0      2      8     21     72    109     45     79     70
202005020430   76  7     0      1      8     17     43     83     45     92     69
202005020500   82 13     0      2      5     26    118     70     43     88     77
202005020530   78 13     0      2      8     30    114     57     39     71     65
202005020600   78  7     0      2      9     21     57     74     48     93     74
202005020630   79  7     0      2      5     26     64     76     49     89     80
202005020700   79  4     0      2      8     21     49     78     50     90     95
202005020730   83  7     0      3      8     27     61     65     60    104    102
202005020800   83  4     0      1      7     26     61     65     81     95    101
202005020830   81  7     0      1      7     27     28     56     47    130    116
202005020900   86  7     0      2      8     27     51     53     70    140    106
