 ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202006010000  200 11     4     41     35    147    381    830    461    163    544
202006010030  185 11     4     52     37    124    310    580    363    198    516
202006010100  197 11     6     67     41    134    317    790    290    204    588
202006010130  191  4     3     44     35     96    360    585    405    189    634
202006010200  205 11     5     60     30    116    329    785    414    190    765
202006010230  199  4     5     73     60    173    276    591    281    219    824
202006010300  193  4     4     72     53    155    219    461    264    192    929
202006010330  183  4     5     46     41     83    233    406    222    168    903
202006010400  192  4     4     42     40    135    230    374    286    238    987
202006010430  184  4     4     69     64    150    203    342    174    174    943
202006010500  181  4     5     47     42    100    200    392    233    176    877
202006010530  183  4     4     81     78    153    181    375    193    178    869
202006010600  191  4     7     89     67    134    166    443    212    188    996
202006010630  182  4     5     68     89     74    133    391    201    197    929
202006010700  189  4     4     48     51    178    245    357    222    193    945
202006010730  191  4     4     71     86    104    237    406    280    160    976
202006010800  195  4     3     56     52    121    241    336    259    217   1128
202006010830  186  4     3     59    107     80    194    268    202    164   1102
202006010900  189  4     4     70     66    143    259    262    196    158   1093
202006010930  176  4     4     64     91    111    177    325    152    151    869
202006011000  179  4     3     38     59     98    203    296    242    181    941
202006011030  180  4     3     37     56    122    329    269    132    175    903
202006011100  192  4     3     46     89     84    308    304    232    183   1062
202006011130  185  4     2     40     45    107    196    272    207    211   1079
202006011200  196  4     4     68     95    107    230    389    207    263   1042
202006011230  182  4     4     88    128     46    157    286    212    220    965
202006011300  186  4     5     52     80     75    146    307    170    351   1011
202006011330  181  4     3     38     59     64    210    230    125    302   1030
202006011400  190  4     4     47     80     44    153    257    185    358   1156
202006011430  205  4     4     44    100     69    214    283    162    416   1348
202006011500  205  4     5     48     70     48    139    287    203    472   1385
202006011530  191  4     3     37     68     45    199    212    174    378   1181
202006011600  207  4     6     37    196     45    122    232    170    556   1337
202006011630  209  4     4     47    115     68    154    252    233    532   1363
202006011700  200  4     3     39     85     51    122    251    240    521   1238
202006011730  207  4     6     44     70     29    127    263    175    558   1422
202006011800  201  4     3     48     86     40    190    204    170    435   1370
202006011830  209  4     5     83    257     71    154    289    173    602   1111
202006011900  206  4     3     48    176     37    230    226    198    512   1242
202006011930  202  4     3     18     69     68    126    252    156    573   1297
202006012000  195  4     5     38    129     65    123    178    164    483   1198
