                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007010000  132 17     6    218    381     98     77     80     36     32    156
202007010030  112  4     8    115    126    124     86    106     34     37    137
202007010100  131 17     8    161    333    154     80     86     48     40    155
202007010130  133 17     7    176    404    111     77     79     56     32    171
202007010200  137 17     7    199    332    152     90    112     73     31    185
202007010230  124 17     5    113    252    120     97     92     54     41    189
202007010300  128 17     5    106    274    147     99     76     57     43    223
202007010330  137 17     7    139    381    120     80    126     64     51    208
202007010400  119  4     5    117    132    146     78     81     63     46    217
202007010430  127 17     5     88    277    154     74     82    115     49    172
202007010500  124  4     5     85    183    160     76    115     86     55    201
202007010530  133  4     5    103    191    183     84    132    100     67    238
202007010600  128  4     4     68    241    120     93    104     98     59    247
202007010630  122  4     6     77    111    111     95    142    101     70    221
202007010700  124 17     5    118    268     83     60     72     94     70    194
202007010730  137 17    13    184    276    131     67    139    105     84    177
202007010800  128 17     9    125    228    114     95    111     95     85    171
202007010830  156 17    10    224    539    221     81     90    119     64    190
202007010900  120  4     4     95    135    121     72    143    107     77    154
202007010930  120 17     3     58    171    159     97    150     84     61    137
202007011000  122 17     7     93    236    143     76     80     89     78    134
202007011030  113 17     3    104    142     96     69    103     94     60    128
202007011100  118 17     3     90    211    169     65     70     96     66    109
202007011130  112 17     3     63    179    120     64     57     98     92    113
202007011200  121 17     7    121    233    110    114     76     70     86    107
202007011230  105 15     3     68     93    136     53     93     55     86    107
202007011300  132 17     8     99    290    277     67     72     85     86    117
202007011330  119 17     5     93    202    174     65     95     91     79     88
202007011400  116 15     4    101    169    202     68     74     70     64     94
202007011430  112 17     6    106    196    138     63     75     43     63     97
202007011500  124 17     3     83    280    218     67     90     62     53    103
202007011530  117 17     5     92    267    145     58     73     49     58    109
202007011600  111  4     3     84    127    128    106     71     47     63    138
202007011630  129 17     2    139    264    255     78     55     68     55    123
202007011700  119 17     2    105    238    148     74     86     52     66    115
202007011730  119 17     4     78    258    158     75     58     55     60    141
202007011800  104  4     3     46    111     99     62     77     73     68    140
202007011830  121 17     7     82    233    166     66     57     77     63    155
202007011900  114 17     4     73    191    103     82     89     45     63    152
202007011930  120 17     7    128    237    121     87     51     45     47    174
202007012000  114 17     3     55    234    136     80     63     32     49    147
202007012030  112 17     4     44    168    162     87     48     50     56    156
202007012100  129 17     3     94    417    151     70     48     45     62    141
202007012130   96  4     3     35     91     77     45     77     41     67    137
202007012200  116 17     5     64    232    154     79     48     57     64    140
202007012230  116 15     5     96    155    181     88     52     67     46    150
202007012300   99  4     3     41    119    114     67     43     35     33    139
202007012330  119 17     3     79    322    135     56     65     49     38    138
202007020000  106 17     2     52    214    114     66     41     49     44    117
202007020030  136 17     6     76    396    304     99     73     52     37     99
202007020100  105 17     3     77    190     74     73     89     63     37     85
202007020130   97 15     2     69    111    145     45     45     44     38     89
202007020200  111 17     3     41    256    178     72     39     54     42     76
202007020230  121 15     3     51    298    302     48     46     46     39     81
202007020300   94 17     3     26    117     93     89     54     62     42     74
202007020330  111 17     4     26    275    153     51     50     90     54     71
202007020400   95 15     2     41    117    135     34     56     75     49     69
202007020430  105 15     1     40    132    146     64     53    127     63     75
202007020500  107 17     3     33    198    119     42     60    105     73     77
202007020530  109 17     3     25    199    160     45     47     93     94     84
202007020600  120 17     5     72    217    210     58     46    114    110     75
202007020630  110 15     2     36    147    148     51     51    123    137     72
202007020700  116 15     1      7    170    179     40     87    131    163     73
202007020730  101  7     3     24    105    106     49     49    105    118     77
202007020800  115 17     3     26    191    118     63     46    137    164     87
202007020830  116 17     3     43    198    132     51     72    143    123     80
202007020900  113 17     3     11    180    149     60     47    134    149     82
202007020930  114 15     2     22    164    188     88     67    110     91     84
202007021000  108 15     2     24    118    197     47     53     85    120     90
202007021030  111 15     3     16    143    173     78     29    108    126     94
202007021100  113 15     3     14    137    251     83     45     57    133     85
202007021130   97 17     2     10    117    117     39     43     82     95     96
202007021200  104 15     4     11    110    159     45     42     78    125    107
202007021230  104 15     3     23    114    140     72     54     66     90    115
202007021300   98 15     4     12     97    135     48     43     56    106     97
202007021330   99 15     3     21    112    124     67     32     36    103    109
202007021400   99  4     5     13    123    107     60     29     43    104    130
202007021430  102 15     4     14     95    156     48     54     78     89    117
202007021500   98 15     3     10     77    148     64     42     68     96    101
202007021530  102 15     4     11     92    131     99     40     75     93    106
