                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202005010000  117  7     1      3      6     59     62    116    246    247    151
202005010030  118  9     0      2      9     81     65    120    244    220    148
202005010100  110  7     1      2      5     49     74    103    189    219    130
202005010130  110  9     1      1      4     67     84    106    204    171    126
202005010200  113  7     0      2      9    106     95    101    179    200    122
202005010230  119  9     0      2      7     85     85     90    261    220    144
202005010300  115  9     1      2     11    103    109     97    226    167    129
202005010330  124  9     1      4     10    145    157     78    252    211    125
202005010400  130  9     1      5      9    112    138    121    297    278    134
202005010430  120  7     1      3      6    116    154     96    204    206    136
202005010500  125  9     0      4      8    115    176     82    257    206    139
202005010530  129  7     1      3      8    108    195     86    241    284    128
202005010600  127 13     1      3     11    137    262     87    211    186    134
202005010630  118  9     1      2     11     95    184     79    210    158    148
202005010700  129 13     1      3      9    128    277    128    181    183    135
202005010730  124  9     1      3      6     95    222     96    246    170    127
202005010800  123 13     1      3     13    112    251     86    218    160    120
202005010830  123  9     1      3     11     88    225     94    239    164    133
202005010900  136  9     1      3     15    124    196    152    345    195    138
202005010930  138  9     1      4     12     82    289    143    333    215    133
202005011000  140  9     1      2      5    137    293    145    313    230    117
202005011030  141  9     1      3     15    123    320    138    359    172    133
202005011100  130 13     1      3     12     82    249    211    227    183    111
202005011130  135 13     1      4      8     64    295    161    275    227    120
202005011200  126  9     0      3     14     99    198    176    228    174    124
202005011230  143 13     1      3     10    136    366    179    200    270    118
202005011300  128  9     1      3      6     92    208    137    315    183     97
202005011330  151 13     1      4     21    121    445    206    278    255    109
202005011400  146 13     1      4     12    131    349    162    291    287    124
202005011430  134  7     1      3     10     70    193    227    192    321    126
202005011500  135  9     1      3      5     61    231    216    270    252    123
202005011530  144  7     1      4      5    129    295    170    267    327    120
202005011600  144  7     1      3      7    124    261    164    260    352    152
202005011630  124  7     0      2      4     74    119    123    200    288    166
202005011700  131  7     0      1      6     81    168    171    209    289    155
202005011730  123  7     1      2      8     95    150     67    195    265    162
202005011800  126  7     0      2      7     84    205    142    177    230    168
202005011830  134  7     0      1      6     47    225    165    211    320    160
202005011900  126  9     0      2      6    100    197    156    200    193    169
202005011930  123  7     0      2      6     63    154    131    185    252    168
202005012000  126  7     0      2      7     99    189    138    182    243    152
202005012030  125  9     0      2     11     99    175    118    207    192    174
202005012100  128  9     0      2      5     61    219    124    288    182    162
202005012130  116 13     1      2     10     95    200     85    117    168    165
202005012200  121  7     0      1      8     45    152     75    196    298    147
202005012230  118  7     0      1      7     59    187    106    142    207    165
202005012300  120 13     0      2      4     66    218    126    161    188    141
202005012330  110 13     0      1      5     45    166    123    131    132    146
202005020000  112  7     1      2      6     40    143     95    134    224    140
202005020030  116  7     0      4      7     50    169    118    139    202    153
202005020100  112  7     0      2     11     41    173    123    120    192    132
202005020130  109 13     0      2     11     46    182    132    107    158    113
202005020200  106 13     0      3      6     32    189    101     89    155    131
202005020230  109 13     0      2      7     27    203    104    107    175    122
202005020300  107  7     0      2      8     38    142    145     79    181    125
202005020330  101  7     0      4      5     34     80    112    126    188    110
